Column1,rating,content
35,1,"S?n ph?m kém ch?t l??ng, mua v? xem ???c h?n ti?ng ??ng h? thì b? l?i ?en màn mà v?n có ti?ng.. Không ???c ??i hàng, khi mình b?m vô ?ã nh?n ?c hàng thì có b?ng thông báo Xác nh?n nh?ng ?ã b?m Thoát mà nó v?n chuy?n ??n sang tr?ng thái ?ã giao. Thành ra bây gi? không th? ??i hàng. Chán..."
36,2,":) 02 ngày nh?n ?c hàng k th?y nv g?i c?ng nh? ??n l?p ??t, g?i t?ng ?ài chính hãng ss t? tr?a cho ??n 17h30 chi?u 4 cu?c, 3 cu?c ??u là k? thu?t ?ã nh?n tt, cu?c cu?i là h?t gi? làm vi?c c?a kt. Ch?t l?i là khách t? l?p ??t cài ??t h?t. Vô cùng b?c xúc và th?t v?ng !"
37,5,"Tivi rõ nét, ?óng gói k?"
38,5,Ok
39,5,
40,5,shop ?óng gói r?t c?n th?n! hàng r?t ??p ? ! 100 ?? 
41,5,"Tivi t?ng ship v? t?nh nh?ng giao hàng r?t nhanh, tivi xem nét ??p ch?t l??ng. C?m ?n shop ??"
42,5,Dùng t?t
43,5,Tivi ??p
44,5,"Phù h?p v?i giá ti?n, quá OK ??"
45,5,
46,5,Tôt
47,5,ok
48,5,ok
49,5,mua ?c gi?m giá thích ls
50,5,
51,5,Ok
52,5,R?t ok
53,5,Ko thay g?i xác nh?n kích ho?t b?o hành h? shop
54,5,
55,5,
56,1,
57,5,
58,5,
59,5,
60,5,
61,5,
62,5,
63,5,
64,5,
65,5,
66,5,
67,5,
68,5,
69,5,
70,5,
71,5,
72,5,
73,5,
74,5,
75,5,
76,5,
77,5,
78,5,
79,5,
80,5,
81,5,
82,4,
83,5,
84,5,
85,5,
86,5,
87,5,
88,5,
89,5,
90,5,
91,5,
92,4,
93,5,
94,5,
95,5,
96,5,
97,5,
98,5,
99,5,
100,4,
101,5,
102,5,
103,5,
104,5,
105,5,
106,5,
107,5,
108,5,
109,5,
110,5,
111,5,
112,5,
113,5,
114,5,
115,5,
116,5,
